```
library TransplantDrugTherapy

using FHIR version '4.0.1'

codesystem SNOMED: 'http://snomed.info/sct'

codesystem ICD10: 'http://hl7.org/fhir/sid/icd-10'

context Patient

define CoveredTransplant:
  [Condition: 'http://snomed.info/sct#1234567']

define PartA:
  [Coverage: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#PART-A']

define PartB:
  [Coverage: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#PART-B']

define MedicareDrugCoverage:
  [Coverage: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#PART-D']

define ImmunosuppressiveDrugs:
  [Medication: 'http://www.nlm.nih.gov/research/umls/rxnorm']

define KidneyTransplant:
  [Procedure: 'http://snomed.info/sct#1234567']

define EndStageRenalDisease:
  [Condition: 'http://snomed.info/sct#1234567']

define MedicareBenefit:
  [Coverage: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#MEDICARE']

define ImmunosuppressiveDrugBenefit:
  [Coverage: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-BENEFIT']

define Premium:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#PREMIUM']

define Deductible:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#DEDUCTIBLE']

define CoverageAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#COVERAGE-AMOUNT']

define ImmunosuppressiveDrugCoverage:
  [Coverage: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE']

define ImmunosuppressiveDrugCoverageAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductible:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE']

define ImmunosuppressiveDrugCoveragePremium:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM']

define ImmunosuppressiveDrugCoverageCoverageAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-COVERAGE-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageDeductibleAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-DEDUCTIBLE-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoveragePremiumAmountAmount:
  [ChargeItem: 'http://terminology.hl7.org/CodeSystem/v3-ActCode#IMMUNOSUPPRESSIVE-DRUG-COVERAGE-PREMIUM-AMOUNT-AMOUNT']

define ImmunosuppressiveDrugCoverageCoverageAmountAmountAmount:
